"","x"
"1","ARL11"
"2","KLHDC1"
"3","TMX3"
"4","EFCAB13"
"5","ZNF483"
"6","IMMP2L"
"7","CDC25A"
"8","TENT2"
"9","YPEL2"
"10","SCML4"
"11","CDC42-IT1"
"12","WHAMMP3"
"13","LINC01122"
"14","CTC-338M12.4"
"15","DNAJC3"
"16","BTBD8"
"17","AP000766.1"
"18","AL158211.5"
"19","RDH13"
"20","CHRM3"
"21","MGST2"
"22","VWDE"
"23","PCBP1-AS1"
"24","ARNTL2-AS1"
"25","DENND1B"
"26","P4HB"
"27","ZC3H11A"
"28","ITPRIPL2"
"29","ZNF519"
"30","TRIM24"
"31","HECTD1"
"32","KLF3-AS1"
"33","PLOD2"
"34","ELOA"
"35","AHR"
"36","LPP"
"37","ELOC"
"38","PBX2"
"39","SIRPA"
"40","TGOLN2"
"41","CDC14A"
"42","PLGLB1"
"43","SMARCA2"
"44","AL031681.3"
"45","DZIP3"
"46","SLC4A7"
"47","CDC14B"
"48","KLHDC10"
"49","KLHDC10"
"50","NFIB"
"51","SLC19A2"
"52","VEGFA"
"53","RAD52"
"54","NUDT3"
"55","TCF7L2"
"56","UBXN7"
"57","LRRC8B"
"58","ACKR3"
"59","GOSR2"
"60","ST3GAL6"
"61","PDLIM5"
"62","SRSF11"
"63","THSD7A"
"64","EXPH5"
"65","NUMA1"
"66","NFIA"
"67","CHRM3"
"68","RRP15"
"69","THSD7A"
"70","SLITRK5"
"71","LRCH1"
"72","SCAI"
"73","SLC35E2A"
"74","DLEU2"
"75","ATP6V0A2"
"76","PTER"
"77","EMSY"
"78","AP1AR"
"79","ZNF236"
"80","FAT4"
"81","KLF3-AS1"
"82","PRR16"
"83","GSTCD"
"84","SLC35F5"
"85","NANOG"
"86","ZBTB3"
"87","ABI3BP"
"88","CDH7"
"89","RPA4"
"90","DCAF7"
"91","ZBTB20"
"92","WWC2"
"93","COX15"
"94","KBTBD7"
"95","BCOR"
"96","TRPS1"
"97","CAPS2"
"98","TENT5A"
"99","PPP2R2D"
"100","TMEM87B"
"101","NAA25"
"102","NAPEPLD"
"103","RBM39"
"104","SNHG14"
"105","CHURC1"
"106","PURB"
"107","SPRED1"
"108","GFPT1"
"109","ZNF614"
"110","EMCN"
"111","MFSD14C"
"112","RBM43"
"113","MIR29B2CHG"
"114","ALG10B"
"115","GVQW3"
"116","FNBP4"
"117","RNASEL"
"118","JPX"
"119","FAM126B"
"120","C11orf54"
"121","RAB39B"
"122","ZNF471"
"123","CLINT1"
"124","ST8SIA4"
"125","NKTR"
"126","STOX2"
"127","ZBTB20"
"128","METTL4"
"129","MIR17HG"
"130","AC027290.2"
"131","PCCA"
"132","TRMT13"
"133","MIR3142HG"
"134","PDZD2"
"135","ERCC5"
"136","SCAF4"
"137","GGNBP2"
"138","MMP24OS"
"139","UHMK1"
"140","CDK19"
"141","FBN1"
"142","SGO2"
"143","PTAR1"
"144","PIGM"
"145","KLHL28"
"146","TAS2R14"
"147","SLC44A5"
"148","ANAPC5"
"149","FREM1"
"150","AL606834.1"
"151","DYNC1I2"
"152","NCSTN"
"153","AC092070.2"
"154","UFL1"
"155","TRERF1"
"156","GDPD1"
"157","SMIM10L2A"
"158","TENT2"
"159","DENND1B"
"160","PTPDC1"
"161","GTF3A"
"162","ZNF616"
"163","CRIPT"
"164","CT66"
"165","MIR101-1"
"166","FBXL20"
"167","AC009951.4"
"168","FAM133A"
"169","CFLAR"
"170","ZEB2"
"171","PTK2"
"172","HFM1"
"173","CCNL1"
"174","METTL14"
"175","AK3P3"
"176","SNHG14"
"177","AC023389.2"
"178","KLHL24"
"179","LARP1B"
"180","BMPR1B"
"181","FMNL2"
"182","YIPF4"
"183","FIGN"
"184","ZNF678"
"185","STRN"
"186","XIAP"
"187","MCTP2"
"188","SGMS2"
"189","AL139339.1"
"190","ALPK1"
"191","AC011379.2"
"192","LINC00482"
"193","CCDC93"
"194","NAMPT"
"195","AC118459.1"
"196","AC021078.1"
"197","DARS-AS1"
"198","KCNQ1OT1"
"199","SRD5A3"
"200","WDFY2"
"201","CC2D2B"
"202","KIAA1841"
"203","MBTD1"
"204","NXPE3"
"205","COG2"
"206","ZNF827"
"207","NFASC"
"208","ZC3H11A"
"209","JPH3"
"210","MORF4L2"
"211","TRIOBP"
"212","DDHD1"
"213","TEAD2"
"214","RNU6-1016P"
"215","MUC20-OT1"
"216","ZDHHC20"
"217","MRPL30"
"218","CCDC88C"
"219","KCNC3"
"220","CAND1"
"221","UBLCP1"
"222","C6orf52"
"223","SMIM34B"
"224","AL133410.1"
"225","METAP2"
"226","LINC01578"
"227","FAM111A-DT"
"228","GART"
"229","TBXA2R"
"230","BMP2K"
"231","GNL3L"
"232","STAT1"
